COMPANY,LINK
NDA_NA1,https://upsc.gov.in/examinations/National%20Defence%20Academy%20and%20Naval%20Academy%20Examination%20%28I%29%2C%202025
CDS,https://upsc.gov.in/examinations/Combined%20Defence%20Services%20Examination%20%28I%29%2C%202025
CISF,https://upsc.gov.in/examinations/CISF%20AC%28EXE%29%20LDCE-2025
CSO,https://upsc.gov.in/examinations/Combined%20Section%20Officer%20%28Grade-B%29%20LDCE%2C%202024
ES_PRE,https://upsc.gov.in/examinations/Engineering%20Services%20%28Preliminary%29%20Examination%2C%202025
CGS_PRE,https://upsc.gov.in/examinations/Combined%20Geo-Scientist%20%28Preliminary%29%20Examination%2C%202025
IFS_MAIN,https://upsc.gov.in/examinations/Indian%20Forest%20Service%20%28Main%29%20Examination%2C%202024
CS_MAIN,https://upsc.gov.in/examinations/Civil%20Services%20%28Main%29%20Examination%2C%202024
ISS,https://upsc.gov.in/examinations/Indian%20Statistical%20Service%20Examination%2C%202024
IES,https://upsc.gov.in/examinations/Indian%20Economic%20Service%20Examination%2C%202024
NDA_NA2,https://upsc.gov.in/examinations/National%20Defence%20Academy%20and%20Naval%20Academy%20Examination%20%28II%29%2C%202024
CDS,https://upsc.gov.in/examinations/Combined%20Defence%20Services%20Examination%20%28II%29%2C%202024
CAPF,https://upsc.gov.in/examinations/Central%20Armed%20Police%20Forces%20%28ACs%29%20Examination%2C%202024
CGS_MAIN,https://upsc.gov.in/examinations/Combined%20Geo-Scientist%20%28Main%29%20Examination%2C%202024
IES_ICS,https://upsc.gov.in/examinations/Indian%20Economic%20Service%20-%20Indian%20Statistical%20Service%20Examination%2C%202024
CMS,https://upsc.gov.in/examinations/Combined%20Medical%20Services%20Examination%2C%202024
ES_MAIN,https://upsc.gov.in/examinations/Engineering%20Services%20%28Main%29%20Examination%2C%202024
IFS_PRE,https://upsc.gov.in/examinations/Indian%20Forest%20Service%20%28Preliminary%29%20Examination%2C%202024%20through%20CS%28P%29%20Examination%202024
CS_PRE,https://upsc.gov.in/examinations/Civil%20Services%20%28Preliminary%29%20Examination%2C%202024
CDS1_24,https://upsc.gov.in/examinations/Combined%20Defence%20Services%20Examination%20%28I%29%2C%202024
CGS_PRE_24,https://upsc.gov.in/examinations/Combined%20Geo-Scientist%20%28Preliminary%29%20Examination%2C%202024
ES_PRE_24,https://upsc.gov.in/examinations/Engineering%20Services%20%28Preliminary%29%20Examination%2C%202024
